"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,ARS Annee de Remise à Niveau Scientifique
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Licence   Musicologie
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Licence   Portail Lettres
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Anglais/Allemand   Anglais/Espagnol"
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Licence   Sciences sociales
Prive sous contrat d association,0490838V,Lycee Saint Louis,Pays de la Loire,BTS   Services   Comptabilite et gestion
Prive sous contrat d association,0490840X,Lycee polyvalent prive Bourg Chevreau,Pays de la Loire,BTS   Services   Management Commercial Operationnel
Prive sous contrat d association,0492406Z,LGT Sainte Marie / ESUPEC,Pays de la Loire,BTS   Services   Negociation et digitalisation de la Relation Client
Prive sous contrat d association,0492420P,LPO SAINT AUBIN LA SALLE,Pays de la Loire,CPGE   PTSI
Prive sous contrat d association,0492420P,LPO SAINT AUBIN LA SALLE,Pays de la Loire,BTS   Production   Electrotechnique
Prive sous contrat d association,0492420P,LPO SAINT AUBIN LA SALLE,Pays de la Loire,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux"
Public,0490970N,Universite Angers,Pays de la Loire,Licence   Portail Economie et gestion
Public,0490970N,Universite Angers,Pays de la Loire,Licence   Portail Langues etrangeres appliquees   Anglais Espagnol
Public,0490970N,Universite Angers,Pays de la Loire,Licence   Portail Psychologie
Prive sous contrat d association,0491027A,Lycee agricole Campus de Pouille,Pays de la Loire,BTS   Agricole   Agronomie et cultures durables
Prive sous contrat d association,0492015Z,LGT prive Sacre Coeur La Salle,Pays de la Loire,BTS   Services   Commerce International
Public,0500016W,Lycee Jean Francois Millet,Normandie,CPGE   Lettres
Public,0500017X,Lycee Alexis De Tocqueville,Normandie,BTS   Production   Maintenance des systemes   option A Systemes de production
Public,0500049G,Lycee Robert De Mortain,Normandie,BTS   Services   Economie sociale familiale
Public,0500060U,Lycee agricole St Lo There,Normandie,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil"
Public,0500087Y,Lycee Claude Lehec,Normandie,BTS   Services   Conseil et commercialisation de solutions techniques
Prive sous contrat d association,0500127S,Lycee Le Bon Sauveur,Normandie,BTS   Services   Tourisme
Public,0501219D,Lycee Curie Corot,Normandie,BTS   Services   Conseil et commercialisation de solutions techniques
Prive sous contrat d association,0501735P,MFREO de Granville,Normandie,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains"
Public,0501744Z,CNAM INTECHMER,Normandie,Diplome d Etablissement   Cadre technique genie de l environnement marin
Public,0501839C,Lycee Sivard De Beaulieu,Normandie,BTS   Services   Gestion de la PME
Public,0501850P,Lycee Maurice Marland,Normandie,BTS   Services   Management en hotellerie restauration
Public,0501928Z,IUT GRAND OUEST NORMANDIE   Pole de Cherbourg   Site de Saint Lo,Normandie,BUT   Metiers de la Transition et de l Efficacite energetiques
Public,0501928Z,IUT GRAND OUEST NORMANDIE   Pole de Cherbourg   Site de Saint Lo,Normandie,BUT   Metiers du multimedia et de l internet
Public,0510031G,Lycee CLEMENCEAU,Grand Est,CPGE   MPSI
Public,0510031G,Lycee CLEMENCEAU,Grand Est,CPGE   BCPST
Public,0510035L,Lycee Hugues Libergier,Grand Est,BTS   Services   Collaborateur juriste notarial
Public,0510035L,Lycee Hugues Libergier,Grand Est,BTS   Services   Gestion de la PME
Public,0510035L,Lycee Hugues Libergier,Grand Est,BTS   Services   Economie sociale familiale
Public,0511026N,Institut Universitaire de Technologie de Reims,Grand Est,BUT   Informatique
Public,0670190T,INSA Strasbourg,Grand Est,Formation d ingenieur Bac + 5   Bac General
Prive sous contrat d association,0511145T,Lycee St Michel,Grand Est,BTS   Services   Tourisme
Public,0511219Y,Lycee agricole Viticole De La Champagne,Grand Est,"BTS   Agricole   Technico commercial   Specialite vins, bieres et spiritueux"
Public,0511565Z,Lycee Francois Arago,Grand Est,BTS   Production   Management economique de la construction
Public,0511884W,lycee Georges BRIERE,Grand Est,BTS   Production   Controle industriel et regulation automatique
Public,0511951U,Lycee Jean TALON,Grand Est,Diplome de Comptabilite et de Gestion
Public,0530012A,LGT Reaumur   Lycee des metiers,Pays de la Loire,BTS   Production   Travaux publics
Public,0690192J,INSA Lyon,Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bac General
Prive sous contrat d association,0530068L,Lycee HAUTE FOLLIS,Pays de la Loire,BTS   Services   Services et prestations des secteurs sanitaire et social
Prive sous contrat d association,0530068L,Lycee HAUTE FOLLIS,Pays de la Loire,BTS   Services   Management Commercial Operationnel
Prive sous contrat d association,0530068L,Lycee HAUTE FOLLIS,Pays de la Loire,BTS   Services   Comptabilite et gestion
Public,0530081A,Lycee agricampus de Laval,Pays de la Loire,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains"
Public,0530081A,Lycee agricampus de Laval,Pays de la Loire,"BTS   Agricole   QUalite, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques"
Prive sous contrat d association,0530818B,Lycee agricole ROCHEFEUILLE,Pays de la Loire,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains"
Public,0530951W,I.U.T. Laval,Pays de la Loire,BUT   Genie biologique parcours biologie medicale et biotechnologie
Public,0540041B,Lycee Georges de la Tour,Grand Est,BTS   Services   Assurance
Public,0540044E,Lycee Arthur Varoquaux,Grand Est,BTS   Production   Metiers de la mesure
Public,0540044E,Lycee Arthur Varoquaux,Grand Est,BTS   Production   Metiers de l eau
Public,0541205S,I.U.T de Nancy Brabois   Universite de Lorraine,Grand Est,BUT   Genie civil   Construction durable
Public,0760165S,INSA Rouen Normandie,Normandie,Formation d ingenieur Bac + 5   Bac General
Public,0541205S,I.U.T de Nancy Brabois   Universite de Lorraine,Grand Est,BUT   Genie biologique parcours biologie medicale et biotechnologie
Public,0541286E,Lycee Louis Bertrand,Grand Est,BTS   Services   Negociation et digitalisation de la Relation Client
