"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,ARS Annee de Remise à Niveau Scientifique,"47.4629, -0.54627"
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Licence   Musicologie,"47.4631, -0.54678"
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Licence   Portail Lettres,"47.4629, -0.54627"
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Anglais/Allemand   Anglais/Espagnol","47.4629, -0.54627"
Prive enseignement superieur,0492433D,Facultes libres de l Ouest   UCO ANGERS,Pays de la Loire,Licence   Sciences sociales,"47.4629, -0.54627"
Prive sous contrat d association,0490838V,Lycee Saint Louis,Pays de la Loire,BTS   Services   Comptabilite et gestion,"47.2575, -0.08603"
Prive sous contrat d association,0490840X,Lycee polyvalent prive Bourg Chevreau,Pays de la Loire,BTS   Services   Management Commercial Operationnel,"47.6811, -0.87156"
Prive sous contrat d association,0492406Z,LGT Sainte Marie / ESUPEC,Pays de la Loire,BTS   Services   Negociation et digitalisation de la Relation Client,"47.049, -0.86328"
Prive sous contrat d association,0492420P,LPO SAINT AUBIN LA SALLE,Pays de la Loire,CPGE   PTSI,"47.4892, -0.50211"
Prive sous contrat d association,0492420P,LPO SAINT AUBIN LA SALLE,Pays de la Loire,BTS   Production   Electrotechnique,"47.4876, -0.49547"
Prive sous contrat d association,0492420P,LPO SAINT AUBIN LA SALLE,Pays de la Loire,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","47.4876, -0.49547"
Public,0490970N,Universite Angers,Pays de la Loire,Licence   Portail Economie et gestion,"47.47854, -0.55007"
Public,0490970N,Universite Angers,Pays de la Loire,Licence   Portail Langues etrangeres appliquees   Anglais Espagnol,"47.47968, -0.60297"
Public,0490970N,Universite Angers,Pays de la Loire,Licence   Portail Psychologie,"47.47962, -0.60303"
Prive sous contrat d association,0491027A,Lycee agricole Campus de Pouille,Pays de la Loire,BTS   Agricole   Agronomie et cultures durables,"47.4355, -0.53769"
Prive sous contrat d association,0492015Z,LGT prive Sacre Coeur La Salle,Pays de la Loire,BTS   Services   Commerce International,"47.4776, -0.60378"
Public,0500016W,Lycee Jean Francois Millet,Normandie,CPGE   Lettres,"49.6405, -1.64434"
Public,0500017X,Lycee Alexis De Tocqueville,Normandie,BTS   Production   Maintenance des systemes   option A Systemes de production,"49.6296, -1.60654"
Public,0500049G,Lycee Robert De Mortain,Normandie,BTS   Services   Economie sociale familiale,"48.6492, -0.94155"
Public,0500060U,Lycee agricole St Lo There,Normandie,"BTS   Agricole   Metiers de l elevage: developpement, production et conseil","49.1713, -1.17395"
Public,0500087Y,Lycee Claude Lehec,Normandie,BTS   Services   Conseil et commercialisation de solutions techniques,"48.5717, -1.09812"
