Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0062126D,COMUE Université Côte d'Azur,28 avenue VALROSE,6103,NICE,1800611Q,"DROIT, ECONOMIE, GESTION",Contrôle de gestion et audit organisationnel,diplôme,"Formation initiale,Alternance,Apprentissage",1er semestre,"Administration économique et sociale,Economie et gestion",RDy6Q
0062126D,COMUE Université Côte d'Azur,28 avenue VALROSE,6103,NICE,1800571W,"DROIT, ECONOMIE, GESTION",Droit privé,diplôme,"Formation initiale,Formation continue",1er semestre,Droit,RDy6Q
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE,1800833F,SCIENCES ET TECHNOLOGIES,"Électronique, énergie électrique, automatique",diplôme,"Formation initiale,Formation continue",1er semestre,"Sciences pour l'ingénieur,Electronique, énergie électrique, automatique",xJdyB
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE,1800818Q,SCIENCES ET TECHNOLOGIES,"Instrumentation, mesure, métrologie",diplôme,"Formation initiale,Formation continue,Apprentissage",1er semestre,"Physique,Sciences pour l'ingénieur,Physique, chimie,Electronique, énergie électrique, automatique",xJdyB
0134009M,Université d'Aix-Marseille,58  BOULEVARD CHARLES LIVON,13284,MARSEILLE,1800828A,SCIENCES ET TECHNOLOGIES,Sciences de la mer,diplôme,"Formation initiale,Formation continue",1er semestre,"Chimie,Physique,Sciences de la Terre,Sciences de la vie,Sciences de la vie et de la Terre",xJdyB
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1703388J,"SCIENCES, TECHNOLOGIES, SANTÉ","Innovation, entreprise et société",diplôme,Formation initiale,1er semestre,,p25Q3
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1701181K,"DROIT, ECONOMIE, GESTION",Management de l'innovation,diplôme,Formation initiale,1er semestre,"Economie,Gestion,Administration économique et sociale,Economie et gestion",p25Q3
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1703408F,"SCIENCES, TECHNOLOGIES, SANTÉ",Informatique,diplôme,Formation initiale,1er semestre,,p25Q3
0141408E,Université de Caen,ESPLANADE DE LA PAIX,14032,CAEN,1702261J,"DROIT, ECONOMIE, GESTION",Droit du numérique,diplôme,Formation initiale,1er semestre,,p25Q3
0211237F,Université de Dijon,Esplanade Erasme,21078,DIJON,1701337E,SCIENCES HUMAINES ET SOCIALES,Sciences sociales,diplôme,"Formation initiale,Formation continue",1er semestre,,Lr94O
0290346U,Université de Brest,3 RUE DES ARCHIVES,29238,BREST,1701310A,SCIENCES HUMAINES ET SOCIALES,Tourisme,diplôme,"Formation initiale,Formation continue",1er semestre,,06SE7
0301687W,Université de Nîmes,RUE DU DOCTEUR GEORGES SALAN,30021,NIMES,1302750H,Autre Domaine,"Métiers de l'enseignement, de l'éducation et de la formation (MEEF), encadrement éducatif",diplôme,Formation initiale,1er semestre,Toutes licences,HAU8L
0310152X,Institut national des sciences appliquées de Toulouse,135  AVENUE DE RANGUEIL,31077,TOULOUSE,1602047F,"SCIENCES, TECHNOLOGIES, SANTÉ",Aéronautique et espace,diplôme,Formation initiale,1er semestre,,dj88d
0311381H,Institut national polytechnique de Toulouse,6  ALLÉE EMILE MONSO,31029,TOULOUSE,1602106V,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,"Formation initiale,Formation continue",3ème semestre,,mMex4
0311381H,Institut national polytechnique de Toulouse,6  ALLÉE EMILE MONSO,31029,TOULOUSE,1602641B,"SCIENCES, TECHNOLOGIES, SANTÉ","Sciences de l'océan, de l'atmosphère et du climat",diplôme,"Formation initiale,Formation continue",3ème semestre,,mMex4
0311382J,Université Toulouse-I,2  RUE DU DOYEN GABRIEL MARTY,31042,TOULOUSE,1602627L,"SCIENCES, TECHNOLOGIES, SANTÉ",Éthique,diplôme,Formation initiale,1er semestre,,542Id
0311384L,Université Toulouse-III,118  ROUTE DE NARBONNE,31062,TOULOUSE,1602534K,SCIENCES HUMAINES ET SOCIALES,"Information, communication",diplôme,"Formation initiale,Formation continue,Alternance",3ème semestre,,m7K6T
